Sujet;Q1;Com1;Q2;Com2;Q3;Com3;Q4;Com4;Q5;Com5;Q6;Com6;Q7;Com7;Q8;Com8;Q9;Com9;Q10;Date;Com Vide;Com Positif;Com Négatif;Com Merci;Com Confort;Com Renouvellement;Com Soucis Techniques;Com Durée;Com Pratique;Com Autre
86;4;;4;;2;;4;;4;;4;;4;;4;;3;;10;30/05/2023;0;1;0;0;0;1;0;0;0;0
87;4;; ;;4;; ;;3;;3;;3;;3;;3;;7;30/05/2023;1;0;0;0;0;0;0;0;0;0
88;3;;4;;2;;4;;4;;4;;3;;4;;4;;9;30/05/2023;0;0;0;0;0;1;0;0;0;0
89;3;;3;;4;;4;;4;;4;;4;;4;;4;;9;30/05/2023;1;0;0;0;0;0;0;0;0;0
90;3;;3;;3;;3;;4;;4;;3;;3;;4;;9;30/05/2023;1;0;0;0;0;0;0;0;0;0
91;4;;4;;3;;4;;4;;4;;4;;4;;4;;10;30/05/2023;0;1;0;0;0;0;0;0;0;0
92;4;;4;;4;; ;;4;;4;;3;;3;;4;;8;30/05/2023;0;0;0;0;0;1;0;1;0;0
93;3;;3;;3;;3;;3;;4;;4;;3;;3;;8;30/05/2023;1;0;0;0;0;0;0;0;0;0
94;4;;4;;4;;4;;4;;3;;4;;4;;4;;10;30/05/2023;1;0;0;0;0;0;0;0;0;0
95;4;;3;;4;;4;;4;;4;;4;;3;;4;;8,5;30/05/2023;1;0;0;0;0;0;0;0;0;0
96;4;;4;;4;;4;;4;;4;;3;;3;;3;;8;30/05/2023;0;0;0;1;0;0;0;0;0;0
97;4;;4;;3;;4;;4;;4;;4;;4;;4;;9;30/05/2023;1;0;0;0;0;0;0;0;0;0
98;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;30/05/2023;1;0;0;0;0;0;0;0;0;0
99;4;;4;;4;;4;;4;;4;;4;;4;;4;;9;30/05/2023;1;0;0;0;0;0;0;0;0;0
100;4;;4;;3;;4;;3;;3;;3;;3;;3;;7;30/05/2023;1;0;0;0;0;0;0;0;0;0
101;3;;3;;2;;4;;4;;4;;3;;3;;3;;7;30/05/2023;1;0;0;0;0;0;0;0;0;0
102;4;;4;;4;;4;;4;;4;;4;;4;;4;;9,5;30/05/2023;0;1;0;1;0;1;0;0;0;0
103;4;;4;;4;la salle était lumineuse ;4;;4;;4;;4;;4;;4;;9;03/03/2023;0;0;0;0;0;0;0;0;0;1
104;4;;4;;3;;3;;3;;4;;3;;3;;4;;7;03/03/2023;0;1;0;1;0;1;0;1;0;0
105;4;;4;;3;;4;;4;;4;;3;;4;;4;;8;03/03/2023;0;0;0;0;1;0;0;0;0;0
106;4;; ;RAS;2;;4;;4;;4;;4;;4;;4;;9;03/03/2023;0;0;0;0;1;0;0;0;0;0
107;3;;3;;2;;3;;4;;4;;3;;3;;4;;8;03/03/2023;0;0;0;0;0;0;0;0;0;1
108;4;;3;;3;;3;;4;;4;;4;;4;;4;;8;03/03/2023;1;0;0;0;0;0;0;0;0;0
109;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
110;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
111;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;0;0;0
112;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;1;0;0
113;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
114;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
115;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;0;0;1;0;0;0;1;0;0
116;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
117;3;;4;;4;;4;;4;;4;;2;Trop court ;3;;3;;7;19/06/2023;0;0;0;0;0;0;0;1;0;0
118;3;;4;;4;;4;;4;;4;;3;Court ! ;4;;4;;9;03/03/2023;0;1;0;1;0;1;0;1;0;0
119;4;;4;;4;;4;;4;;4;;4;;3;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
120;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;0;0;0;0;0;0;0
121;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;19/06/2023;0;1;0;1;1;0;0;0;0;0
